Hyundai Motor Japan R&D Center,Hyundai Motor Company
Hyundai Motor Japan R&D Center,Kia Motors Corporation
Hyundai Motor Company,Industry-Academic Cooperation Foundation Yonsei University
Hyundai Motor Company,LG Hausys Ltd.
Hyundai Motor Company,Korea Institute of Science & Technology
Hyundai Motor Company,Kia Motors Corporation
Hyundai Motor Company,HYUNDAI MOBIS CO. LTD.
Hyundai Motor Company,SL Lighting Corporation
Hyundai Motor Company,Il Heung Co. Ltd.
Hyundai Motor Company,Myunghwa Ind. Co. Ltd.
Kia Motors Corporation,Industry-Academic Cooperation Foundation Yonsei University
Kia Motors Corporation,Myunghwa Ind. Co. Ltd.
STMicroelectronics (Mala) Ltd,STMICROELECTRONICS S.R.L.
STMICROELECTRONICS S.R.L.,Samsung Electronics Co. Ltd.
STMICROELECTRONICS S.R.L.,STMicroelectronics (Grenoble 2) SAS
STMICROELECTRONICS S.R.L.,GLOBALFOUNDRIES Inc.
STMICROELECTRONICS S.R.L.,FREESCALE SEMICONDUCTOR INC.
STMICROELECTRONICS S.R.L.,COMMISSARIAT A L'ENERGIE ATOMIQUE ET AUX ENERGIES ALTERNATIVES
STMICROELECTRONICS S.R.L.,STMICROELECTRONICS (CROLLES 2) SAS
STMICROELECTRONICS S.R.L.,STMicoelectronics (Grenoble 2) SAS
STMICROELECTRONICS S.R.L.,International Business Machines Corporation
STMICROELECTRONICS S.R.L.,STMICROELECTRONICS ASIA PACIFIC PTE. LTD.
STMICROELECTRONICS S.R.L.,STMicroelectronics Limited
STMICROELECTRONICS S.R.L.,STMicroelectronics (Shenzhen) Manufacturing Co. Ltd.
STMICROELECTRONICS S.R.L.,STMicroelectronics International N.V.
University of Seoul Industry Cooperation Foundation,Samsung Electronics Co. Ltd.
Samsung Electronics Co. Ltd.,GENITECH INC.
Samsung Electronics Co. Ltd.,Korea Electric Power Corporation
Samsung Electronics Co. Ltd.,Georgia Tech Research Corp.
Samsung Electronics Co. Ltd.,Sungkyunkwan University Foundation for Corporate Collaboration
Samsung Electronics Co. Ltd.,Korea Advanced Institue of Science & Technology
Samsung Electronics Co. Ltd.,SNU R&DB FOUNDATION
Samsung Electronics Co. Ltd.,The Regents of the University of California
Samsung Electronics Co. Ltd.,Industry-Academic Cooperation Foundation Yonsei University
Samsung Electronics Co. Ltd.,GLOBALFOUNDRIES Inc.
Samsung Electronics Co. Ltd.,Seoul National University Industry Foundation
Samsung Electronics Co. Ltd.,Dongguk University Industry-Academic Cooperation Foundation
Samsung Electronics Co. Ltd.,Korea University of Technology and Education Industry-University Cooperation Foundation
Samsung Electronics Co. Ltd.,Postech Academy-Industry Foundation Postech Univ. of Science and Technology
Samsung Electronics Co. Ltd.,Industry-University Cooperation Foundation Hanyang University
Samsung Electronics Co. Ltd.,IMEC
Samsung Electronics Co. Ltd.,INDUSTRY FOUNDATION OF CHONNAM NATIONAL UNIVERSITY
Samsung Electronics Co. Ltd.,Cheil Industries Inc.
Samsung Electronics Co. Ltd.,International Business Machines Corporation
Samsung Electronics Co. Ltd.,Industry-Academic Cooperation Foundation
