ID,Patent_industry,University,Patent_count,Turnover_lay,Turnover_2012,Total_assets_2012,Employees_2012,R&D_2012,Country_code,
The United States of America represented by the Department of Health and Human Services ,3,0,2,79662,,,,,2,
The Regents of the University of California,3,1,5684,,,,,,1,
The Regents of The University of Michigan,3,1,378,350000,,,,,1,
Trustees of Boston University,3,1,60,3000000,,,,,1,
California Institute of Technology,3,1,702,350000,,,,,1,
Cornell Research Foundation Inc.,3,1,40,3000000,,,,,1,
University of Southern California,3,1,315,3000000,,,,,1,
Lawrence Livermore National Security LLC.,3,0,47,,,,,,,
The Board of Trustees of the Leland Stanford Junior University,3,1,792,,,,,,1,
Brigham and Women's Hospital,3,0,16,,,,,,1,
Massachusetts Institute of Technology,3,1,1350,750000,,,,,1,
University of Massachusetts,3,1,168,17500,,,,,1,
Centre National de la Recherche Scientifique (CNRS),3,0,736,,,,,,6,
UNIVERSITE  D 'AIX-MARSEILLE,3,1,9,,,,,,6,
COMMISSARIAT A L'ENERGIE ATOMIQUE ET AUX ENERGIES ALTERNATIVES,3,0,582,,,,,,6,
Research Foundation of State University of New York,3,1,120,7500000,,,,,1,
University of Washington,3,1,63,750000,,,,,1,
Toyota Motor Engineering & Manufacturing North America Inc.,3,0,680,276669260,234351491,376880705,333498,8576251,4,
UNIVERSITY OF NOTRE DAME,3,1,12,350000,,,,,1,
Oregon Health & Science University,3,1,18,350000,,,,,1,
Board of Regents University of Texas System,3,1,1064,,,,,,1,
The President and Fellows of Harvard College,3,0,100,37500,,,,,1,
The University of North Carolina at Chapel Hill,3,1,40,,,,,,1,
Georgia Tech Research Corp.,3,0,220,175000,,,,,1,
Toyota Motor Corporation,3,0,28,276669260,234351491,376880705,333498,8576251,4,
Children's Medical Center Corporation,3,0,28,,,,,,,
Pioneer Hi Bred International Inc,3,0,836,62484000,,,,,1,
Reata Pharmaceuticals Inc.,3,0,4,48058,,,,,1,
Health Research Inc.,3,0,10,37500,,,,,1,
Bringham Young University,3,1,1,,,,,,1,
The United States Government as Represented by the Department of Veterans Affairs,3,0,1,,,,,,1,
Merck Sharp & Dohme Corp.,3,0,790,1012758,1390262,1152592,1428,,2,
The Scripps Research Institute,3,0,72,350000,,,,,1,
CYTOMX THERAPEUTICS INC.,3,0,5,71623,,,,,1,
