ID,Patent_industry,University,Patent_count,Turnover_lay,Turnover_2012,Total_assets_2012,Employees_2012,R&D_2012,Country_code,
Japan Science and Technology Agency,4,0,190,1318392,,,,,4,
The Regents of the University of California,4,1,5684,,,,,,1,
Sharp Kabushiki Kaisha,4,0,10382,22857810,26325928,22174860,50647,1465066,4,
The University of Tokyo,4,1,112,2210651,,,,,4,
Panasonic Corporation,4,0,12048,75168694,77568192,57332047,293742,5334286,4,
International Business Machines Corporation,4,0,204120,79139000,102874000,119213000,434246,5816000,1,
The Board of Trustees of the Leland Stanford Junior University,4,1,792,,,,,,1,
Denso Corporation,4,0,20118,48105196,38034234,42263337,132276,3563038,4,
Tokyo Institute of Technology,4,1,63,418147,,,,,4,
National University Corporation Nagoya University,4,1,1908,989528,,,,,4,
Massachusetts Institute of Technology,4,1,1350,750000,,,,,1,
University of Massachusetts,4,1,168,17500,,,,,1,
National University Corporation Toyohashi University of Technology,4,1,18,,,,,,4,
SK hynix Inc.,4,0,2196,28126514,9492070,17418917,,910758,8,
Industry-University Cooperation Foundation Hanyang University,4,1,70,,,,,,9,
Seoul National University Industry Foundation,4,1,42,64922,,,,,8,
Samsung Electronics Co. Ltd.,4,0,164500,1590113,2370656,943428,301,,4,
Cheil Industries Inc.,4,0,1334,3152720,2209060,1863169,,8933,8,
Samsung Display Co. Ltd.,4,0,4319,32034708,20303892,32639843,,,8,
Sumitomo Rubber Industries Ltd. ,4,0,720,7775606,8206193,8521409,23507,225742,4,
Centre National de la Recherche Scientifique (CNRS),4,0,736,,,,,,6,
COMMISSARIAT A L'ENERGIE ATOMIQUE ET AUX ENERGIES ALTERNATIVES,4,0,582,,,,,,6,
HYUNDAI MOBIS CO. LTD.,4,0,64,32830060,28758657,28065567,,324313,8,
Korea Advanced Institue of Science & Technology,4,0,480,109390,109583,130761,,,8,
University of Seoul Industry Cooperation Foundation,4,1,8,566648,583742,362104,,,8,
Industry-Academic Cooperation Foundation Yonsei University,4,1,546,697852,,,,,8,
Kia Motors Corporation,4,0,832,50009976,44127529,30261828,,523137,8,
Korea University of Technology and Education Industry-University Cooperation Foundation,4,1,4,115918,,,,,8,
SK Telecom Co. Ltd.,4,0,20,16366196,15076975,23907677,,284474,8,
Kobe Steel Limited,4,0,468,17715019,17902592,23653702,36018,326745,4,
Electronics and Telecommunications Research Institute,4,0,7030,522227,487606,539260,1996,,8,
SNU R&DB FOUNDATION,4,0,78,,,,,,,
Raytheon Company,4,0,1956,25348000,24414000,26686000,67800,451000,1,
The President and Fellows of Harvard College,4,0,100,37500,,,,,1,
Hyundai Motor Company,4,0,3839,90029031,78899421,113523083,,641328,8,
FURUKAWA AUTOMOTIVE SYSTEMS INC.,4,0,34,1290150,,,,,4,
Tohoku University,4,1,171,1321640,,,,,4,
SanDisk 3D LLC,4,0,201,5564872,5052509,10339127,4636,602765,1,
Kabushiki Kaisha Toshiba,4,0,105777,37174836,60828319,64790252,206087,3238779,4,
Intermolecular Inc.,4,0,136,37203,66827,123685,232,21839,1,
AISIN SEIKI KABUSHIKI KAISHA,4,0,2214,302352,,,,,4,
Aisin AW Co. Ltd.,4,0,1246,13036274,,,,,4,
Toyota Jidosha Kabushiki Kaisha,4,0,9120,276669260,234351491,376880705,333498,8576251,4,
Honda Motor Co. Ltd.,4,0,8143,144657174,104917126,144825890,190338,5950823,4,
Advics Co. Ltd.,4,0,128,2103944,,,,,4,
Toshiba Medical Systems Corporation,4,0,350,2651929,2946893,1790292,4114,,4,
TOSHIBA TEC KABUSHIKI KAISHA,4,0,1152,4833685,4287764,4126522,20517,235220,4,
National Institute of Advanced Industrial Science and Technology,4,0,231,974141,,,,,4,
Nippon Soken Inc.,4,0,374,,,,,,4,
KABUSHIKI KAISHA TOYOTA CHUO KENKYUSHO,4,0,144,276669260,234351491,376880705,333498,8576251,4,
The Furukawa Electric Co. Ltd.,4,0,675,9109454,9821742,8706341,50342,214657,4,
Georgia Tech Research Corp.,4,0,220,175000,,,,,1,
WASEDA UNIVERSITY,4,1,40,914333,,,,,4,
Keihin Corporation,4,0,126,3310048,3132693,2389336,20807,8603,4,
Sony Côrporation,4,0,87360,80459381,72234214,150889990,146300,5030377,4,
Hitachi Displays Ltd.,4,0,287,88235150,96028373,104187258,326240,3625173,4,
Panasonic Liquid Crystal Display Co. Ltd.,4,0,355,277164,,,,,4,
Sôny Electronics Inc.,4,0,468,80459381,72234214,150889990,146300,5030377,4,
JAPAN DISPLAY INC.,4,0,1441,6756964,1754052,1221816,14801,13054,4,
STMICROELECTRONICS S.R.L.,4,0,10890,996589,1105673,2070193,,,6,
Sony Computer Entertainment Inc.,4,0,792,80459381,72234214,150889990,146300,5030377,4,
STMicroelectronics (Research & Development) Limited,4,0,20,996589,1105673,2070193,,,6,
Sony Mobile Communications Inc.,4,0,345,4737320,,,,,4,
SONY PICTURES TECHNOLOGIES INC.,4,0,3,80459381,72234214,150889990,146300,5030377,4,
STMicroelectronics (Grenoble 2) SAS,4,0,44,283456,277196,239352,1509,,6,
MACRONIX INTERNATIONAL CO. LTD.,4,0,812,1146749,839430,2147853,5530,171339,5,
Institut Ploytechnique de Grenoble,4,1,4,,,,,,6,
Beth Israel Deaconess Medical Center Inc.,4,0,24,,,,,,1,
